id,sessionId,affect,affect_binary,context,timestamp,time_of_engagement,time_of_completion
1,1684233368781,1684241637960
2,1684316437026,1684316918842
3,1684320187837,1684324240109
4,1684329819124,1684336881627
5,1684233612386,1684238542917
6,1684239389537,1684241345081
7,1684316390749,1684316949420
8,1684319880859,1684320716270
9,1684320718683,1684328740034
10,1684328830910,1684332583436
11,1684233367011,1684236877851
12,1684236879790,1684241647480
13,1684233615219,1684236486302
14,1684236488691,1684238158287
15,1684239594675,1684239966948
16,1684239969441,1684240083565
17,1684240087319,1684240520507
18,1684316425934,1684316895115
19,1684320586653,1684325264755
20,1684326825465,1684331768757
21,1684233614070,1684236563252
22,1684236564514,1684238142864
23,1684238382281,1684307399922
24,1684316391276,1684316854508
25,1684320186774,1684324176271
26,1684326805219,1684331784417
27,1684233614374,1684236588069
28,1684236589064,1684238133125
29,1684238200277,1684305686105
30,1684316417032,1684316936852
31,1684317547000,1684318368429
32,1684320585882,1684325263314
33,1684325361729,1684325370548
34,1684326793507,1684331776147
35,1684250694010,1684251053884
36,1684251055089,1684251085245
37,1684251340679,1684251439354
38,1684251454421,1684251815301
39,1684251823703,1684252019462
40,1684252026265,1684252158795
41,1684252192970,1684252374316
42,1684252401112,1684252588393
43,1684252601023,1684252872843
44,1684252916092,1684253093164
45,1684253757512,1684253843861
46,1684253851574,1684254259337
47,1684254261490,1684254353800
48,1684254355884,1684254877811
49,1684254932088,1684255064846
50,1684255066672,1684255306784
51,1684255310047,1684255865699
52,1684256396101,1684256564994
53,1684256566226,1684269151988
54,1684269157643,1684269271585
55,1684269273065,1684269741198
56,1684269749438,1684270781152
57,1684270794069,1684273036075
58,1684302866170,1684302979788
59,1684304152281,1684304640952
60,1684304971900,1684305355694
61,1684316407589,1684316843516
62,1684319960371,1684320684189
63,1684320686131,1684328775117
64,1684328839076,1684332613594
65,1684233622888,1684238459087
66,1684239257566,1684239262267
67,1684239443690,1684241417240
68,1684233367011,1684236877851
69,1684236879790,1684241647480
70,1684307661122,1684307667332
71,1684316410414,1684316877557
72,1684322046243,1684332501850
73,1684233976194,1684238335846
74,1684239286693,1684239986154
75,1684239991936,1684240448645
76,1684241326545,1684241359941
77,1684316430072,1684321407135
78,1684321419326,1684321845656
79,1684331227878,1684331245122
80,1684233622888,1684238459087
81,1684239257566,1684239262267
82,1684239443690,1684241417240
83,1684316423829,1684316973482
84,1684320776394,1684321159138
85,1684322050702,1684332460275
86,1684233614374,1684236588069
87,1684236589064,1684238133125
88,1684238200277,0
89,1684233978152,1684235872135
90,1684237173515,1684238677689
91,1684238678307,1684239777808
92,1684233614070,1684236563252
93,1684236564514,1684238142864
94,1684238382281,0
95,1684234692087,1684236331275
96,1684236334952,1684237067691
97,1684237068750,1684239612352
98,1684316383565,1684321380765
99,1684321389054,1684321833293
100,1684233615219,1684236486302
101,1684236488691,1684238158287
102,1684239594675,1684239966948
103,1684239969441,1684240083565
104,1684240087319,1684240520507
